"x","Cell","Batch","Gene1","Gene2","Gene3","Gene4","Gene5","Gene6","Gene7","Gene8","Gene9","Gene10","Gene11","Gene12","Gene13","Gene14","Gene15","Gene16","Gene17","Gene18","Gene19","Gene20","Gene21","Gene22","Gene23","Gene24","Gene25","Gene26","Gene27","Gene28","Gene29","Gene30","Gene31","Gene32","Gene33","Gene34","Gene35","Gene36","Gene37","Gene38","Gene39","Gene40","Gene41","Gene42","Gene43","Gene44","Gene45","Gene46","Gene47","Gene48","Gene49","Gene50","Gene51","Gene52","Gene53","Gene54","Gene55","Gene56","Gene57","Gene58","Gene59","Gene60","Gene61","Gene62","Gene63","Gene64","Gene65","Gene66","Gene67","Gene68","Gene69","Gene70","Gene71","Gene72","Gene73","Gene74","Gene75","Gene76","Gene77","Gene78","Gene79","Gene80","Gene81","Gene82","Gene83","Gene84","Gene85","Gene86","Gene87","Gene88","Gene89","Gene90","Gene91","Gene92","Gene93","Gene94","Gene95","Gene96","Gene97","Gene98","Gene99","Gene100","Group"
"57","Cell57","Batch3",0,16,15,0,22,3,124,286,135,39,21,90,0,54,9,8,34794,7,21,40,1228,2,2,337,170,1211,51,11,296,2,11,72,7794,3,96,0,355,65,8,717,44,110,65,1525,23,89,295,8,24,36,111,132,9,273,1,651,69,1919,112,7,99,948,117,5,5,184,45,4,416,142,228,175,728,1154,582,13,661,514,4,4,523,104,36,0,46,2,10,250,1066,189,156,6147,25,15,92,30,193,86,75,26,"Group1"
"58","Cell58","Batch3",0,10,6,0,39,6,74,180,105,41,21,36,0,26,14,3,29777,11,9,46,899,9,0,189,145,916,54,35,257,1,18,32,5515,1,93,0,348,30,5,404,48,62,94,1562,26,81,162,9,13,32,129,87,14,228,0,456,33,1698,120,8,99,938,83,4,7,108,23,5,212,157,127,180,444,1229,435,11,545,383,10,1,579,136,21,1,65,1,11,176,781,126,181,4511,27,20,82,29,145,75,51,25,"Group1"
"59","Cell59","Batch3",0,6,11,0,14,6,93,162,153,74,30,60,0,40,8,11,35100,5,17,71,949,2,5,204,166,1060,71,7,174,1,7,46,5768,4,94,1,329,59,6,627,49,162,90,1874,25,120,171,7,31,41,117,105,3,248,0,589,26,1592,127,13,114,801,65,12,11,95,22,1,303,179,139,200,551,1304,596,13,694,373,10,2,373,81,25,0,47,3,8,200,943,199,99,5978,42,12,76,53,173,99,58,27,"Group1"
"60","Cell60","Batch3",0,24,14,5,51,7,136,166,125,64,46,88,0,40,8,9,33734,17,19,52,748,0,3,208,129,1061,83,32,152,6,13,48,7334,0,145,1,110,63,4,665,34,79,84,1854,16,120,577,4,14,49,111,113,5,309,1,740,60,2609,107,11,112,784,148,4,4,114,35,14,384,251,138,145,497,1105,478,12,718,508,5,0,523,144,24,0,61,0,9,227,1108,163,133,5630,72,21,75,41,193,69,126,29,"Group2"
"61","Cell61","Batch4",0,96,0,20,1526,3,36,16,11,20,1431,161,0,1485,11,96,165,149,1,18,45,0,36,389,47,176,558,691,305,6,6,111,739,0,2217,21,144,730,1257,121,57,848,85,721,7,253,2027,3,270,72,26,172,2,1813,68,442,1176,1206,75,86,100,253,2660,34,1,147,123,2,176,131,0,5,234,2437,4553,62,517,104,39,14,12165,20,1126,1,756,5,135,148,447,78,299,8558,6,573,332,37,34,68,203,91,"Group1"
"62","Cell62","Batch4",0,56,0,21,1708,15,17,19,0,15,968,164,0,1114,6,64,217,226,4,3,53,2,31,555,31,245,464,468,259,18,1,70,875,0,1850,16,147,435,1075,118,75,717,87,770,0,156,1625,8,245,82,12,125,7,1310,41,261,645,770,44,70,121,159,2862,37,13,139,124,2,134,83,2,10,146,1955,3274,50,413,93,44,11,12081,12,706,0,567,1,89,150,315,54,222,7420,6,528,258,25,25,54,229,64,"Group1"
"63","Cell63","Batch4",0,109,0,18,1438,11,25,17,7,40,1453,146,1,1287,8,82,287,257,2,20,57,0,72,473,66,292,452,682,369,4,3,108,1010,2,2313,13,131,606,1334,129,97,833,128,725,6,173,1712,1,283,104,8,122,12,1625,66,422,1239,1709,73,69,98,285,2737,56,7,130,99,4,206,83,2,14,160,2603,5224,88,367,153,58,6,13556,10,1120,2,747,17,164,153,379,100,315,7321,11,501,381,43,21,72,204,77,"Group1"
"64","Cell64","Batch4",0,173,0,55,2306,30,60,28,1,30,1615,357,0,1866,8,112,358,754,11,20,94,0,36,621,110,399,896,852,455,4,9,119,1261,2,2910,17,93,946,1730,224,132,1256,69,998,5,248,6005,11,222,130,14,243,15,2580,67,534,1226,1815,73,115,161,373,3876,79,11,166,119,4,215,125,9,23,317,2634,5781,120,713,184,67,13,17202,12,1035,1,1143,0,236,240,518,80,488,11086,22,929,526,51,50,132,700,117,"Group2"
"65","Cell65","Batch4",0,129,1,22,2046,14,49,14,2,59,1693,171,0,1516,5,123,283,262,6,13,45,0,56,481,90,349,655,1088,330,18,10,147,976,1,2531,32,179,842,1204,177,93,1099,90,953,3,324,2974,9,255,126,24,207,5,2206,100,541,1184,1544,82,127,122,237,4233,29,17,182,144,1,228,82,3,16,357,2510,5240,59,467,122,52,16,14234,15,1107,3,871,8,181,176,421,71,359,8216,15,668,407,49,47,65,302,98,"Group1"
"66","Cell66","Batch4",0,132,0,65,1528,18,64,3,6,50,1842,275,0,1758,5,146,311,511,10,15,43,1,27,749,75,421,679,840,417,8,5,139,1108,0,2883,10,89,750,2183,191,88,1130,88,945,11,300,4808,10,218,109,12,203,11,2302,69,550,1247,1393,154,118,176,243,4365,60,20,162,151,4,315,159,4,13,329,3014,7594,79,680,139,68,13,15407,11,988,3,723,3,213,276,451,83,653,9995,22,985,605,64,45,100,674,62,"Group2"
"67","Cell67","Batch4",0,54,0,12,970,9,23,1,0,34,800,133,0,876,8,74,217,360,2,7,40,6,29,384,34,220,457,739,195,7,2,83,944,0,1557,5,61,474,839,130,64,726,65,726,3,163,2802,4,162,48,22,137,12,1125,30,306,862,998,62,66,128,194,2379,38,10,84,77,6,138,63,0,5,141,1836,3638,35,348,87,33,6,10196,9,968,4,599,2,171,206,249,77,287,6428,12,424,280,25,33,50,354,60,"Group2"
"68","Cell68","Batch4",0,65,0,21,2196,13,53,18,0,24,1626,205,0,1278,6,116,461,373,4,10,61,2,99,764,63,393,716,1112,383,8,13,166,1145,2,2980,11,140,640,1400,208,138,1533,141,1006,7,302,3652,8,316,80,25,192,6,1911,79,466,1348,1347,90,115,150,331,4684,53,13,232,183,10,216,126,6,26,271,3678,6310,99,772,152,50,9,16947,23,1388,3,1080,5,197,222,508,121,405,10822,8,730,537,54,55,64,257,107,"Group1"
"69","Cell69","Batch4",0,49,0,29,1038,3,34,1,8,16,912,139,0,721,6,61,216,142,0,11,55,2,33,529,45,210,440,579,245,9,3,72,526,0,1786,10,69,430,648,76,88,601,99,615,7,168,1316,7,284,48,7,109,2,1158,48,330,419,892,69,56,79,222,2439,27,2,67,150,2,155,71,4,10,135,1818,2697,55,383,98,22,4,9210,10,921,1,556,6,134,151,214,50,196,4927,5,384,261,18,40,46,213,52,"Group1"
"70","Cell70","Batch4",0,83,0,27,1760,21,52,14,1,26,1609,214,0,1311,5,123,235,226,8,12,19,0,45,582,59,280,558,933,251,4,6,167,825,0,1992,4,169,695,1115,180,82,971,77,738,16,160,2159,4,194,135,23,253,17,1636,49,434,653,1186,80,69,98,272,3159,43,6,117,103,6,132,70,4,38,274,2573,4953,51,534,113,30,0,14037,22,975,0,762,10,163,146,493,64,342,8106,11,719,382,44,29,112,224,63,"Group1"
"71","Cell71","Batch4",0,74,0,22,1923,2,43,9,1,24,1282,184,0,1431,7,128,237,226,2,9,41,0,42,698,66,216,633,834,319,3,6,103,828,0,1876,7,114,725,831,184,117,787,55,744,7,184,2270,41,204,123,4,113,22,1640,29,471,932,885,52,50,90,201,2396,33,3,87,148,4,176,117,2,14,182,2000,3605,44,413,137,67,9,11521,16,998,3,608,2,147,236,414,53,289,6717,10,554,335,36,34,73,206,77,"Group1"
"72","Cell72","Batch4",0,76,0,20,1458,13,50,7,0,19,1283,139,0,1128,4,66,262,168,2,15,39,0,39,604,44,259,383,691,303,11,3,62,631,6,1692,25,109,420,628,126,69,769,76,818,1,160,1524,5,179,98,14,155,4,1613,49,416,981,999,69,79,110,150,2861,36,4,126,128,5,144,72,12,21,169,1897,4059,54,435,117,29,6,10463,18,808,7,559,11,134,106,259,60,246,8277,10,406,372,40,39,46,157,82,"Group1"
"73","Cell73","Batch4",0,98,0,23,1825,10,54,7,1,22,1504,146,0,1374,9,126,265,209,6,10,73,8,45,547,52,250,628,842,361,7,6,112,1085,0,2256,9,204,759,1275,138,99,1134,69,745,5,251,1965,8,348,74,9,157,7,1789,47,486,1086,1014,81,45,169,213,3149,59,14,160,119,8,234,83,1,15,282,3178,4235,51,554,136,38,8,10869,13,1023,1,823,11,118,214,423,60,211,6902,10,583,413,29,48,72,230,95,"Group1"
"74","Cell74","Batch4",0,78,0,35,1462,8,23,12,2,29,1564,242,0,1242,9,59,305,267,6,15,40,1,39,466,108,361,569,822,318,13,3,128,1126,0,2000,12,107,694,940,170,91,804,79,822,4,170,2561,14,273,90,10,110,22,1564,46,467,843,1554,74,78,155,209,2761,22,21,180,63,5,221,127,0,13,246,2869,4273,57,454,149,55,13,14029,13,1039,4,757,1,191,227,486,75,419,7799,15,540,563,58,33,60,255,102,"Group1"
"75","Cell75","Batch4",0,100,0,53,2153,15,71,25,5,17,1779,287,0,1534,7,128,257,570,11,8,69,0,55,870,85,347,677,885,554,11,3,183,1106,0,3376,21,128,853,1525,183,122,1198,108,846,9,250,5098,5,231,102,27,209,13,2483,75,592,1522,1625,116,69,182,349,2715,89,7,136,142,12,189,147,4,11,258,3332,6437,72,760,153,77,19,14690,31,1233,5,875,5,195,252,554,103,490,12898,11,758,507,58,56,66,579,92,"Group2"
"76","Cell76","Batch4",0,102,0,30,1737,5,12,3,0,5,1189,138,0,924,7,78,164,291,9,7,51,8,5,449,60,206,375,555,210,6,5,117,568,0,1519,11,47,498,809,145,54,588,87,615,5,143,3573,8,151,73,7,135,4,1664,81,341,898,1087,85,56,140,170,1841,13,4,103,113,11,121,122,2,33,182,1785,3598,82,350,78,35,10,7978,20,858,3,476,3,105,161,383,50,476,5965,10,562,367,21,26,73,417,89,"Group2"
"77","Cell77","Batch4",0,93,0,29,1395,15,46,6,7,11,1190,293,0,881,3,69,266,390,7,7,37,1,41,434,49,219,511,685,336,3,4,95,613,0,1852,5,70,544,1008,163,73,783,111,677,7,177,3665,6,185,104,17,153,15,1529,42,380,1023,1075,71,65,97,203,3051,29,3,85,99,3,184,131,8,13,182,2024,4125,56,388,111,33,8,11048,20,928,1,588,1,111,196,390,76,287,6931,15,490,269,39,29,53,439,78,"Group2"
"78","Cell78","Batch4",1,116,0,21,2750,22,47,16,1,31,1764,274,0,1183,10,185,364,394,0,15,41,3,60,879,82,338,954,1179,294,9,5,125,1385,0,3365,16,185,904,1699,177,107,1174,119,1226,8,280,2846,21,471,132,20,162,20,2421,79,627,1430,1792,127,122,146,298,4709,62,13,233,204,10,291,123,7,21,381,3431,6179,88,771,160,57,18,17271,21,1117,5,947,20,241,247,571,98,371,13206,21,981,630,67,51,100,277,88,"Group1"
"79","Cell79","Batch4",0,71,0,15,1656,8,40,9,1,21,1219,115,0,1200,5,77,186,206,6,29,30,0,54,494,43,307,358,736,316,8,3,56,756,0,2039,10,118,514,1052,101,106,659,56,725,1,221,1273,4,245,64,3,112,8,1162,63,276,1001,1492,74,42,136,222,2765,32,2,153,80,2,185,82,1,4,150,2116,2440,53,435,83,26,5,10620,5,693,3,501,7,85,128,374,41,222,5975,3,463,369,36,26,42,190,83,"Group1"
"80","Cell80","Batch4",0,69,0,36,1503,13,29,14,1,24,1310,208,0,747,3,92,234,389,1,21,60,1,20,507,58,269,627,798,353,7,1,67,743,0,1916,5,54,574,739,174,89,783,92,916,1,259,3332,1,186,110,24,122,1,1620,81,352,944,1206,57,39,148,186,2031,30,8,93,125,3,157,78,2,10,200,1984,4113,23,412,113,46,13,9506,10,841,7,510,0,123,143,289,59,390,6945,20,409,362,51,20,80,385,65,"Group2"
